year,Argentina,Australia,Brazil,Canada,China,European Union (27),France,Germany,India,Indonesia,Italy,Japan,Mexico,Russia,Saudi Arabia,South Africa,South Korea,Turkey,United Kingdom,United States
1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.04347687955003998,0.018115705413823013,0.06700757401328894,0.00995489771285829,0.1564644757014899,0.025443592623054734,0.030573097214352973,0.006224879200631417,0.017319799844518258,-0.07235778226193079,0.04674534195600377,0.05121076275667491,0.018887745575108195,0.0,-0.04389758266006505,0.046208447363285776,0.05961680086481724,0.08210371040908182,-0.022464943879251797,0.008065834066901312
1972,-0.003461348139055076,0.021476251624398923,0.12468206777552715,0.060188896334745445,0.053674543607065583,0.04724165968365823,0.05982485995914377,0.0330255400836994,0.02902855929199477,0.032943728775765235,0.04174323898006316,0.03371196731433379,0.07136272648400954,0.0,0.01956290835023644,0.003965946690071442,0.01576341339694487,0.09238893864755937,0.011432954418101104,0.03784456495884858
1973,0.02793914355653926,0.05224513551987986,0.1629686133021615,0.07244118097866781,0.03314440709745292,0.050184347881173874,0.07729234576882837,0.05726971819171123,-0.0018303933149155238,0.09877896583128143,0.03631710265341992,0.09472578505545282,0.04565826528557482,0.0,0.01188577572237226,0.04566852611736305,0.21243738297743042,0.10822203624024795,0.047701108987769913,0.03187429021671617
1974,0.022197831835865545,0.04804430092187939,0.06730232102755207,0.017421016742073192,0.011022266682859883,-0.0159854212797359,-0.02447793034156387,-0.016800000820736405,0.03571795321388227,0.044531421876359056,-0.007078670932702202,-0.008072363483466516,0.06790050086734722,0.0,0.005009489866481642,0.0002251229587388881,0.02031869882993398,-0.0021029922416787583,-0.05134025890303362,-0.03359558542694141
1975,-0.0384972086217914,0.004152614586496517,0.0326215276975208,-0.02862101930480787,0.10049678138745799,-0.01095165567725731,-0.06306583389518394,-0.037857848332867206,0.05144665906302537,0.1939969670371009,-0.027136229149716695,-0.05578837316365992,0.03619266196972104,0.0,-0.24853363802867867,0.037112435082175654,0.08075649608031821,0.09174875797281001,-0.05776689469592722,-0.03556472240425579
1976,0.03224238391368428,0.02364840976350502,0.07345123916116081,0.03354221115789402,0.036671454746676435,0.05719576092150169,0.059707926788854726,0.06906217434139661,0.02589455763330406,0.024464786640772562,0.049748136280945765,0.02545942230583398,0.03330822398250466,0.0,0.09745369853533936,0.016036244044925096,0.1025969277023433,0.10326684114810036,0.020628508197905848,0.04484449673082702
1977,0.027821195017566414,0.03775416143470922,0.04486454672795137,0.045617661719059566,0.07513435179904038,0.009928996686230818,0.008706770293734456,-0.000595402733959749,0.03463901564842864,0.290155378170172,-0.0014357100337675233,-0.0029789753234198413,0.02426925350000997,0.0,0.12214329285653158,-0.002590347907627688,0.13565523103644095,0.07116664204552459,0.01903774472321218,0.015160517580092181
1978,-0.0144656809378082,0.020449485397674882,0.07635375999401273,0.008675046615164161,0.08188582618670615,0.03618604292529248,0.03984335708649556,0.03816876652948764,0.01680281725040067,0.09804597101794732,0.02041719882328441,0.03228355168262498,0.09265638438259027,0.0,0.05935664516137518,-0.03607453424828044,0.10760722644431153,0.034408209793052924,0.00580980756479188,0.010722399035125951
1979,0.05671153616123159,0.02530419668828099,0.058471274707974086,0.01850557278672116,0.016178687270470338,0.03193262763794724,0.024626255581851497,0.05768001298730452,0.032090990248837326,0.11142857627427194,0.027706049216235984,0.031004702026067754,0.07470054482958965,0.0,0.15253224583018432,0.005463213456719185,0.14025821023812424,-0.07623933940969674,0.04633721386425815,-0.0012943872824987546
